title,author,pub
Fire strike 7/9 /,"Grahame, Paul.; Lewis, Damien.","London : Ebury Press, 2010"
"3 Commando Brigade, Helmand, Afghanistan /","Southby-Tailyour, Ewen.","London : Ebury, 2008"
Immediate response /,"Hammond, Mark.; Macnaughton, Clare.","London : Michael Joseph, 2009"
Hunters : U.S. snipers in the War on Terror /,"Afong, Milo S.","New York : Berkley Caliber, 2010"
American veterans on war : personal stories from World War II to Afghanistan /,"Tripp, Elise Forbes.","Northampton, Mass. : Olive Branch Press, 2011"
The junior officers' reading club : killing time and fighting wars /,"Hennessey, Patrick, 1982-","London : Penguin,  2010, 2009"
The valley's edge : a year with the Pashtuns in the heartland of the Taliban / Daniel R. Green ; foreword by Ronald E. Neumann ; afterword by H.R. McMaster.,"Green, Daniel R.","Washington, D.C. : Potomac Books, 2012"
Horse soldiers : the extraordinary story of a band of U.S. soldiers who rode to victory in Afghanistan /,"Stanton, Doug.","New York : Scribner, 2010"
"Sweating the metal : flying under fire : a Chinook pilot's blistering account of life, death and dust in Afghanistan /","Duncan, Alex, 1976-; Loveless, Antony.","London : Hodder & Stoughton, 2011"
What the thunder said : reflections of a Canadian officer in Kandahar /,"Conrad, John D.","Kingston : Canadian Defence Academy Press ; Toronto : Dundurn Press, 2009"
Trigger Time.  Publication:  Orion Pub Co 2011   Document:  English :  Book      Libraries Worldwide : 119   More Like This:  Advanced options ...   See more details for locating this item,Trigger Time.  Publication:  Orion Pub Co 2011   Document:  English :  Book      Libraries Worldwide : 119   More Like This:  Advanced options ...   See more details for locating this item,Orion Pub Co 2011
Death of a soldier : a mother's story /,"Evison, Margaret.","London : Biteback, 2012"
Zen under fire : how I found peace in the midst of war /,"Elliott, Marianne, 1972-","Naperville, Ill. : Sourcebooks,  2013, 2012"
Kandak : fighting with Afghans /,"Hennessey, Patrick, 1982-","London : Allen Lane, 2012"
Ross Kemp on Afghanistan,"Kemp, Ross, 1964-","Bath : Chivers, 2010"
Deadly blue : battle stories of the U.S. Air Force Special Operations command /,"Pushies, Fred J., 1952-","New York : American Management Assoc., 2009"
"3 Commando Brigade Helmand, Afghanistan /","Southby-Tailyour, Ewen.","Rearsby : Clipper Large Print, 2009"
Spoken from the front : real voices from the battlefields of Afghanistan /,"McNab, Andy.","London : Corgi,  2010, 2009"
Under an Afghan sky : a memoir of captivity /,"Fung, Mellissa.","Toronto : HarperCollins, 2011"
Ground truth : 3 Para - return to Afghanistan /,"Bishop, Patrick","London : HarperPress,  2010, 2009"
"Fifteen days : stories of bravery, friendship, life and death from inside the new Canadian Army /","Blatchford, Christie.","[Toronto] : Doubleday Canada, 2007"
Bulletproof /,"Croucher, Matt.","London : Century, 2009"
Letters from the front lines : Iraq and Afghanistan /,"Platt, Stuart Franklin,; Sigurdson, Duffrey.","Point Roberts, WA : Granville Island Pub., 2006"
Apache /,"Macy, Ed, Pilot.","London : Harper Perennial,  2009, 2008"
"Operation homecoming : Iraq, Afghanistan, and the Home Front, in the words of U.S. troops and their families /","Carroll, Andrew.; Gioia, Dana.","Chicago : University of Chicago Press, 2008"
Fighting for Afghanistan : a rogue historian at war /,"Maloney, Sean M., 1967-","Annapolis, Md. : Naval Institute Press, 2011"
Exit wounds one man's war on terror /,"Cantwell, John.; Bearup, Greg.","Carlton, Vic. : Melbourne University Publishing, 2012"
War dogs /,"Bryant, Shane.; Park, Tony,","Sydney, N.S.W. : Pan Macmillan, 2010"
Soldier box : why I won't return to war /,"Glenton, Joe, 1982-","London ; New York : Verso, 2013"
The junior officers' reading club killing time and fighting wars /,"Hennessey, Patrick, 1982-","Rearsby : Clipper Large Print, 2010"
Hellfire /,"Macy, Ed, Pilot.","London : HarperPress,  2010, 2009"
The interrogators : Task Force 500 and America's secret war against Al Qaeda /,"Mackey, Chris.; Miller, Greg,","New York : Back Bay Books, 2005"
"3 Commando Brigade : Helmand, Afghanistan /","Southby-Tailyour, Ewen.","London : Ebury,  2009, 2008"
"Heroes : true stories of amazing bravery from Iraq and Afghanistan - by British medal winners, in their own words /","Collins, Dan.","Rugby : Monday, 2007"
One bullet away : the making of a Marine Officer /,"Fick, Nathaniel.","London : Weidenfeld & Nicolson, 2006"
Danger close : commanding 3 PARA in Afghanistan /,"Tootal, Stuart.","London : John Murray,  2010, 2009"
Lone survivor : the eyewitness account of Operation Redwing and the lost heroes of SEAL team 10 /,"Luttrell, Marcus.; Robinson, Patrick,","London : Sphere, 2008"
Desert of death : a soldier's journey from Iraq to Afghanistan /,"Docherty, Leo.","London : Faber,  2008, 2007"
The interrogator's war : inside the secret war against Al Qaeda /,"Mackey, Chris.; Miller, Greg,","London : John Murray, 2004"
"Blood clot : in combat with the Patrols Platoon, 3 Para, Afghanistan 2006 /","Scott, Jake, 1981-","Solihull : Helion & Co., 2008"
Battle heroes : voices from Afghanistan  /,"Zullo, Allan.","New York : Scholastic, 2010"
"In foreign fields : heroes of Iraq and Afghanistan, in their own words /","Collins, Dan.","Rugby : Monday,  2008, 2007"
Ground truth 3 Para - return to Afghanistan /,"Bishop, Patrick","Oxford : ISIS, 2010"
Angel walk : nurses at war in Iraq and Afghanistan /,"Richie-Melvan, Sharon I.; Vines, Diane,","Portland, Or. : Arnica Pub., 2010"
"An ordinary soldier : Afghanistan - a ferocious enemy, a bloody conflict, one man's impossible mission /","Beattie, Doug, 1965-; Gomm, Philip.","London : Pocket,  2009, 2008"
FOB doc : a doctor on the front lines in Afghanistan : a war diary /,"Wiss, Ray, 1959-","Vancouver : Douglas & McIntyre, 2009"
3 commando : air assault /,"Southby-Tailyour, Ewen.","London : Ebury, 2010"
One bullet away : the making of a Marine Officer /,"Fick, Nathaniel.","London : Phoenix,  2007, 2006"
War heroes : voices from Iraq ; Battle heroes : voices from Afghanistan /,"Zullo, Allan.; Zullo, Allan.","New York : Scholastic, 2011"
"Task force Helmand : a soldier's story of life, death and combat on the Afghan front line /","Beattie, Doug, 1965-; Gomm, Philip.","London : Pocket,  2010, 2009"
Outside the wire : the war in Afghanistan in the words of its participants /,"Patterson, Kevin,; Warren E. Jane.","Toronto : Random House Canada, 2007"
Operation dark heart : spycraft and special operations on the front lines of Afghanistan /,"Shaffer, Anthony, 1962-","Edinburgh : Mainstream Pub., 2011"
Bulletproof /,"Croucher, Matt, 1983-; Jobson, Robert.","London : Arrow,  2010, 2009"
Among you : the extraordinary true story of a soldier broken by war /,"Wood, Jake.","Edinburgh : Mainstream Publishing, 2013"
Back in the fight : the explosive memoir of a special operator who never gave up /,"Kapacziewski, Joseph.; Sasser, Charles W.","Waterville, Maine : Thorndike Press, A part of Gale, Cengage Learning, 2013"
Company Commander /,"Lewis, Russell.","London : Virgin, 2012"
Maverick 1 /,"Blakeley, David, author.","London : Orion, 2013"
Immediate response /,"Hammond, Mark.; MacNaughton, Clare.","London : Michael Joseph,  2010, 2009"
Callsign hades /,"Bury, Patrick, 1981-","London : Simon & Schuster, 2010"
Kandak,"Hennessey, Patrick, 1982-","Rearsby : Clipper Large Print, 2012"
Zen under fire : a New Zealand woman's story of love & war in Afghanistan /,"Elliott, Marianne, 1972-","Auckland , N.Z. : Penguin, 2012"
"Welcome to Afghanistan, send more ammo : the tragicomic art of making war as an embedded trainer in the Afghan national army /","Tupper, Benjamin.","Rhinebeck, N.Y. : Epigraph Books, 2009"
"Welcome to Afghanistan, send more ammo : the tragicomic art of making war as an embedded trainer in the Afghan national army /","Tupper, Benjamin.","Rhinebeck, N.Y. : Epigraph Books, 2009"
Man down /,"Ormrod, Mark.","London : Corgi, 2010"
Desperate glory : at war in Helmand with Britain's 16 Air Assault Brigade /,"Kiley, Sam.","London : Bloomsbury,  2010, 2009"
Without warning /,"Thomlinson, Damien, author; Cowley, Michael,","Sydney South, N.S.W. : HarperCollins Publishers, 2013"
Blue sky warriors : the RAF in Afghanistan in their own words /,"Loveless, Antony.","Somerset ; Newbury Park, Calif. : Haynes Pub.,  2011, 2010"
Trigger time /,"Flynn, Mick, 1960-; Pearson, Will.","London : Phoenix,  2012, 2011"
First in : an insider's account of how the CIA spearheaded the war on terror in Afghanistan /,"Schroen, Gary C.","New York : Presidio Press/Ballantine Books,  2007, 2005"
First in : an insider's account of how the CIA spearheaded the war on terror in Afghanistan /,"Schroen, Gary C.","New York : Presidio Press/Ballantine Books, 2006"
Saving Cinnamon : the amazing true story of a missing military puppy and the desperate mission to bring her home /,"Sullivan, Christine.","Sydney : Hachette Australia, 2009"
"In foreign fields : heroes of Iraq and Afghanistan, in their own words /","Collins, Dan.","[Wolvey, Leicestershire] : Monday Books, 2007"
It's all about the dog : life and war with the world's bravest dog /,"Heyhoe, D. C. R.","London : Quercus, 2012"
The crossroad /,"Donaldson, Mark, author.","Sydney, N.S.W. Pan Macmillan Australia, 2013"
Forces for Good? : military masculinities and peacebuilding in Afghanistan and Iraq /,"Duncanson, Claire, 1974-","Houndmills, Basingstoke, Hampshire ; New York, NY : Palgrave Macmillan, 2013"
Distant thunder : a helicopter pilot's letters from war in Iraq and Afghanistan /,"Harward, Don.","London : Grub Street, 2012"
The interrogator's war : inside the secret war against Al Qaeda /,"Mackey, Chris.; Miller, Greg,","London : John Murray, 2005"
On the front lines of leadership : sub-unit command on operations /,"Horn, Bernd,","Winnipeg : Canadian Defence Academy Press, 2006"
3 Commando Brigade /,"Southby-Tailyour, Ewen.","London : Ebury, 2008"
Sniper in Helmand /,"Cartwright, James.; McNab, Andy,","Barnsley : Pen & Sword Military, 2011"
The long walk home : Paul Franklin's journey from Afghanistan : a soldier's story /,"Faulder, Liane, 1959-","[Edmonton] : Brindle & Glass Pub., 2007"
Fire strike 7/9 /,"Grahame, Paul.; Lewis, Damien.","London : Ebury, 2011"
Callsign Hades /,"Bury, Patrick, 1981-","London : Simon & Schuster,  2011, 2010"
"3 Commando Brigade : Helmand, Afghanistan /","Southby-Tailyour, Ewen.","London : Ebury,  2011, 2008"
A line in the sand : Canadians at war in Kandahar /,"Wiss, Ray, 1959-","Vancouver : Douglas & McIntyre, 2010"
The Taliban don't wave /,"Semrau, Rob.","Mississauga, Ont. : J. Wiley & Sons Canada, 2012"
The Trident : the forging and reforging of a Navy SEAL leader /,"Redman, Jason, 1975-; Bruning, John R.","New York : Harperluxe, 2013"
"Fifteen days : stories of bravery, friendship, life and death from inside the new Canadian Army /","Blatchford, Christie.","[Toronto] : Anchor Canada, 2008"
"Sweating the metal : flying under fire : a Chinook pilot's blistering account of life, death and dust in Afghanistan /","Duncan, Alex, 1976-","London : Hodder & Stoughton,  2012, 2011"
War /,"Junger, Sebastian.","London : Fourth Estate,  2011, 2010"
Blue sky warriors : the RAF in Afghanistan in their own words /,"Loveless, Antony.","Sparkford, Yeovil, Somerset, UK : Haynes Publishing, 2010"
The patrol : seven days in the life of a Canadian soldier in Afghanistan /,"Flavelle, Ryan, 1984-","Toronto : HarperCollins, 2011"
Wearing the green beret : a Canadian with the Royal Marine Commandos /,"Olafsen, Jake.","Toronto : McClelland & Stewart, 2011"
Last night another soldier--,"McNab, Andy.","Bath : Shortlist, 2010"
Operation Dark Heart : spycraft and special operations on the front lines of Afghanistan /,"Shaffer, Anthony, 1962-","Edinburgh : Mainstream,  2012, 2011"
Helmand : the diaries of front line soldiers.,"Weston, Simon.","Oxford : Osprey Publishing Co., 2013"
Horse soldiers : the extraordinary story of a band of U.S. soldiers who rode to victory in Afghanistan /,"Stanton, Doug.","London ; New York : Simon & Schuster, 2009"
"Witness to war : reporting on Afghanistan, 2004-2009 /","Day, Adam.","Kingston, Ont. : Canadian Defence Academy Press, 2010"
Fighting season : tales of a British officer in Afghanistan /,"Lee, Graham.","London : Duckworth Overlook, 2012"
It's all about Treo /,"Heyhoe, Dave, author.; Lewis, Damien,","2013, 2012"
"Your troops their stories : hearing before the Committee on Armed Services, House of Representatives, One Hundred Ninth Congress, first session, hearing held, November 3, 2005.    Corp","United States., Congress., House., Committee on Armed Services.","Washington : U.S. G.P.O. : For sale by the Supt. of Docs., U.S. G.P.O., 2008"
The dogs are eating them now : our war in Afghanistan /,"Smith, Graeme, 1979-, author.","Toronto : Alfred A. Knopf Canada, 2013"
"March forth : the inspiring true story of a Canadian soldier's journey of love, hope and survival /","Greene, Trevor.; Greene, Debbie,","Toronto : HarperCollins Canada, 2012"
"Marines dodging death : sixty-two accounts of close calls in World War II, Korea, Vietnam, Lebanon, Iraq, and Afghanistan /","Simonsen, Robert A.","Jefferson, N.C. : McFarland & Co., 2009"
Outside the wire : the war in Afghanistan in the words of its participants /,"Patterson, Kevin,; Warren, E. Jane.","Toronto : Random House Canada, 2007"
My miracle marine : the story of three-time purple heart recipient LCPL. John McClellan /,"McClellan, Connie.","Columbia, MO : Divine Word Pub., 2008"
Horse soldiers : the extraordinary story of a band of U.S. soldiers who rode to victory in Afghanistan /,"Stanton, Doug.","New York : Scribner, 2009"
Company Commander /,"Lewis, Russell, author.","2013, 2012"
Battlefields & blessings : stories of faith and courage from the war in Iraq & Afghanistan /,"Cook, Jane Hampton.; Green, Jocelyn.; Croushorn, John.","Chattanooga, Tenn. : God and Country Press, 2009"
Unconventional warrior : memoir of a special operations commander in Afghanistan /,"Herd, Walter Morris, 1960-","Jefferson, North Carolina : McFarland & Company, Inc., Publishers, 2013"
Heroes among us : firsthand accounts of combat from America's most decorated warriors in Iraq and Afghanistan /,"Larson, Chuck.","New York, N.Y. : NAL Caliber,  2009, 2008"
Ground truth : 3 Para - return to Afghanistan /,"Bishop, Patrick","Oxford : Isis, 2010"
The red circle : my life in the Navy SEAL Sniper Corps and how I trained America's deadliest marksmen /,"Webb, Brandon, author.; Mann, John David.","New York  : St. Martin's Griffin,  2013, 2012"
A rope and a prayer : the story of a kidnapping /,"Rohde, David, 1967-; Mulvihill, Kristen.","New York, N.Y. : Penguin Books,  2011, 2010"
Blogging from the battlefield : the view from the front line in Afghanistan /,"Smyth, Paul.","Stroud : Spellmount, 2011"
3 Commando Brigade : Helmand assault /,"Southby-Tailyour, Ewen.","London : Ebury, 2010"
Bulletproof : one marine's ferocious account of close combat behind enemy lines /,"Croucher, Matt.; Jobson, Robert.","London : Century, 2009"
Charles@afghanistan : crazy encounters from the not-so front lines /,"Holt, Charles McDonald.","New York, NY : Vantage Point, 2011"
Saving Eagle Mitch : one good deed in a wicked world /,"Chepaitis, Barbara.","Albany : State University of New York Press, Excelsior Editions, 2013"
At peace with war : a chaplain's meditations from Afghanistan /,"Ristau, Harold, author.","Eugene, Oregon : Wipf & Stock, 2012"
Two sons in a war zone : Afghanistan : the true story of a father's conflict /,"Wynn, Stephen, 1958-","Forest Row : Clairview, 2010"
"In their own words : Canadian stories of valour and bravery from Afghanistan, 2001-2007 /","Mantle, Craig Leslie,","Kingston, Ont. : Canadian Defence Academy Press, 2013"
On the frontline : true stories of outstanding bravery by British Forces in Iraq and Afghanistan /,"Cawthorne, Nigel, 1951-","London : John Blake,  2009, 2007"
One bullet away : the making of a marine officer /,"Fick, Nathaniel.","London : Weidenfeld & Nicolson, 2005"
Crossing the wire : one woman's journey into the hidden dangers of the Afghan War /,"Cardinalli, AnnaMaria, author.","Havertown, Pennsylvania : Casemate, 2013"
With the Paras in Helmand : a photographic diary /,"Allen, Craig","Barnsley : Pen & Sword Military, 2010"
Long rifle : a sniper's story in Iraq and Afghanistan /,"LeBleu, Joe.","New York : Lyons ; Bath : Manning Partnership [distributor], 2009"
Losing small wars : British military failure in Iraq and Afghanistan /,"Ledwidge, Frank.","New Haven, Conn. ; London : Yale University Press,  2012, 2011"
Kandak : fighting with Afghans /,"Hennessey, Patrick, 1982-, author.","2013, 2012"
The operators : the wild and terrifying inside story of america's war in afghanistan.,"Hastings, Michael, 1980-2013.","Plume, 2012"
Apache : inside the cockpit of the world's most deadly fighting machine /,"Macy, Ed.","New York : Atlantic Monthly Press,  2009, 2008"
Outside the wire : the war in Afghanistan in the words of its participants /,"Patterson, Kevin,; Warren E. Jane.","Toronto : Vintage Canada,  2008, 2007"
Desperate lands : the war on terror through the eyes of a Special Forces soldier /,"Zapata, Regulo.","Gilroy, CA : Nadores Pub. & Research, 2007"
A nightmare's prayer : a Marine Corps Harrier pilot's war in Afghanistan /,"Franzak, Michael.","New York : Pocket Books,  2011, 2010"
Your neighbor went to war : reality and the war on terror /,"Brown, B. Diggs 1956-","Fort Collins, CO : Clifton House, 2005"
Saving Cinnamon : the amazing true story of a missing military puppy and the desperate mission to bring her home /,"Sullivan, Christine.","New York : St. Martin's Griffin,  2010, 2009"
Beyond 9/11 : portraits of resilience /,"Grob, Marco.","New York, N.Y. : Time Home Entertainment, 2011"
Inside the hero /,"Shaw, Jill.","Shrewsbury : QP, 2009"
Apache : inside the cockpit of the world's most deadly fighting machine /,"Macy, Ed, Warrant Officer.","New York : Grove Press, 2008"
"Fifteen days : stories of bravery, friendship, life, and death from inside the new Canadian Army /","Blatchford, Christie.","Toronto : Anchor Canada, 2008"
"Voices from the Front : Letters Home from America's Military Family.  Publication:  Carroll & Graf Pub, 2005   Document:  English :  Book      Libraries Worldwide : 21   More Like This:  Advanced options ...   See more details for locating this item","Voices from the Front : Letters Home from America's Military Family.  Publication:  Carroll & Graf Pub, 2005   Document:  English :  Book      Libraries Worldwide : 21   More Like This:  Advanced options ...   See more details for locating this item","Carroll & Graf Pub, 2005"
Danger close : commanding 3 Para in Afghanistan /,"Tootal, Stuart.","London : John Murray, 2009"
Bad company : face to face with the Taliban /,"Taylor, Chantelle.","Plymouth : DRA, 2011"
